date,aircraft,notablePeople,totalMissing,aircrafttype,incidentType,location,coordinates,memorial,remarks,dateClean,context
1856-06-28 !28 Dec 1856,*Ville de Paris*,Matias Perez,1,"balloon, hot air !Hot air balloon",Unknown,"Florida, Straits of !Straits of Florida north of Havana, Cuba",Unknown,x !,Cuban expression: *Voló como Matías Pérez*.,1856-06-28,Free balloon flight
1879-09-28 !28 Sep 1879,*Pathfinder*,"Wise, John ! 
John Wise",1,"balloon, hydrogen !Hydrogen balloon",Unknown,"Michigan, Lake !Lake Michigan","42°04′N 87°56′W﻿ / ﻿42.07°N 87.93°W﻿ / 42.07; -87.93 (position of last 
sighting)",x !,Body of sole passenger recovered from Lake Michigan.,1879-09-28,Free balloon flight
1881-12-10 !10 Dec 1881,*Saladin*,"Powell, Walter !Walter Powell",1,"balloon, hydrogen !Hydrogen balloon",Loss of control,"Dorset ! Eype Mouth, west of Bridport, Dorset",50°43′N 2°47′W﻿ / ﻿50.72°N 2.78°W﻿ / 50.72; -2.78,x !,MP for Malmesbury when he disappeared.,1881-12-10,Free balloon flight
1908-10-17 !17 Oct 1908,*Pampero*,"Newbery, Eduardo !Eduardo Newbery
Eduardo Romero",2,"balloon, coal gas !Coal gas balloon",Unknown,"Plate, River !River Plate, Argentina",34°27′S 58°24′W﻿ / ﻿34.45°S 58.40°W﻿ / -34.45; -58.40,x !,First Argentines ever to perish in an aircraft accident,1908-10-17,Free balloon flight (night navigation exercise)
1910-10-18 !18 Oct 1910,*America*,x !,0,Airship19101018 !Non-rigid airship,Abandonment,"Bermuda !N Atlantic, west of Bermuda",Unknown,x !,Occupants rescued by merchant vessel.,1910-10-18,Attempted 1st transatlantic flight
1910-12-22 !22 Dec 1910,S.29/Cecil Grace No. 3,"Grace, Cecil !Cecil Grace",1,Short S.27,Unknown,English Channel *en route* from Calais to Dover,Unknown,x !,"Returning from unsuccessful attempt at Baron de Forest Prize. Body possibly 
found on 14 March 1911.",1910-12-22,Private flight
1911-06-05 !5 Jun 1911,x !,"Bague, Edouard Jean !Édouard Bague",1,Blériot XI monoplane,Unknown,"Antibes, Cap d' !Mediterranean, near Cap d'Antibes",Unknown,x !,"Roland Garros made 1st trans-Mediterranean flight, 13 Sep 1913.",1911-06-05,Attempted 1st flight across Mediterranean
1912-04-18 !18 Apr 1912,x !,"Allen, Damer Leslie ! 
Damer Leslie Allen",1,Blériot XI monoplane,Unknown,"Irish Sea, west of Anglesey",Unknown,x !,Competing with Denys Corbett Wilson.,1912-04-18,Attempted 1st flight from Wales to Ireland
1913-10-13 !13 Oct 1913,x !,"Jewell, Albert ! 
Albert Jewell",1,Moisant-Blériot monoplane,Unknown,"New York !N Atlantic, off Long Island, NY, USA",40°29′N 73°47′W﻿ / ﻿40.48°N 73.79°W﻿ / 40.48; -73.79 (approx.),x !,Intended to compete in the *New York Times* American Aerial Derby.,1913-10-13,"Ferry/repositioning (Hempstead, Long I. to Oakwood, Staten I., 
NY to join air race)"
1914-03-14 !14 Mar 1914,*Manuel Rodríguez*,"Bello Silva, Alejandro ! 
Alejandro Bello Silva",1,Sánchez-Besa biplane,Unknown,Chile !Central Chile,Unknown,x !,Chilean expression: *más perdido que el Teniente Bello*.,1914-03-14,Military training flight
1914-05-23 !23 May 1914,x !,"Hamel, Gustav ! 
Gustav Hamel",1,Morane-Saulnier 80 hp (60 kW) monoplane,Unknown,English Channel *en route* from Hardelot to Hendon Aerodrome,Unknown,x !,Hamel's corpse probably found 6 Jul 1914 (identity unconfirmed),1914-05-23,Delivery flight
1917-11-07 !7 Nov 1917,LZ60,x !,0,Airship19171107 !Zeppelin LZ60,Storm loss,North Sea,Unknown,x !,Zeppelin unmanned when it broke free.,1917-11-07,Broke free of mooring
1919-06-02 !2 June 1919,x !,"James, Mansell Richard !Mansell Richard James",1,Sopwith Camel,Unknown,New England *en route* from Boston to New York,Unknown,x !,"Reports of wreckage (Mount Riga NY, Pittsfield MA, Fort Pond Bay NY)",1919-06-02,Air race (Boston to New York)
1919-12-09 !9 Dec 1919,x !,"Fraser, George Henry !George Henry Fraser",1,Martinsyde Type A Mk.I,Unknown,"Corfu !St George's Bay, Corfu",Unknown,x !,Airframe & corpse of Cedric Howell (pilot) recovered.,1919-12-09,Air race (England to Australia)
1921-03-23 !23 Mar 1921,A-5597 !A-5597,x !,5,"balloon, hydrogen !Hydrogen balloon",Unknown,Florida !Gulf of Mexico off St. Andrews Bay (Florida),Unknown,x !,Balloon found (without crew) 8 Apr 1921.,1921-03-23,Free balloon flight (all-night training)
1923-12-21-22 !21 Dec 1923,Dixmude !Image in de.wikipedia *Dixmude*,x !,49,Airship19231222 !Zeppelin LZ114,Storm damage or mid-air explosion (suspected),"Mediterranean !Vicinity of Pantelleria, Italy *en route* from Gulf of Gabes",Unknown,"Dixmude !Cuers, France[1]","42 crew, 7 passengers missing. Light debris & body of Plessis de Grenedan, 
Jean du !Jean du Plessis de Grenedan (commander) found in sea near Sciacca, 
Sicily, 26 Dec 1923.",1923-12-21,Attempted flight across Sahara Desert
1924-11-15 !15 Nov 1924,*Fokker 4146*,"Cabral, Artur de Sacadura ! 
Artur de Sacadura Cabral",2,Fokker T.III,Crashed in fog (probable),English Channel *en route* from Amsterdam to Lisbon,Unknown,x !,Aircraft debris discovered 18 Nov 1924.,1924-11-15,Delivery flight (Amsterdam to Lisbon)
1927-05-08 !8 May 1927,"Oiseau Blanc ! 
*L'Oiseau Blanc (The White Bird)*","Coli, François !François Coli and Nungesser, Charles ! 
Charles Nungesser",2,Levasseur PL.8,Unknown,"Atlantic, North !N Atlantic",Unknown,"Coli ! 
Étretat, Le Bourget airport
Coli Lake, ONT 51°19′N 93°35′W﻿ / ﻿51.32°N 93.59°W﻿ / 51.32; -93.59",Competing for Orteig Prize. Source.[2],1927-05-08,"Attempted transatlantic flight (1st E to W, 1st Paris to New 
York)"
